,timestamp,gemini-appTimestamp,gemini-id,gemini-uid,gemini-assetPair,gemini-instrumentClass,gemini-exchangeId,gemini-interval,gemini-type,gemini-filled,gemini-high,gemini-low,gemini-open,gemini-close,gemini-average,gemini-middle,gemini-volume,gemini-tradeCount,gemini-eventType,kraken-appTimestamp,kraken-id,kraken-uid,kraken-assetPair,kraken-instrumentClass,kraken-exchangeId,kraken-interval,kraken-type,kraken-filled,kraken-high,kraken-low,kraken-open,kraken-close,kraken-average,kraken-middle,kraken-volume,kraken-tradeCount,kraken-eventType,coinbasepro-appTimestamp,coinbasepro-id,coinbasepro-uid,coinbasepro-assetPair,coinbasepro-instrumentClass,coinbasepro-exchangeId,coinbasepro-interval,coinbasepro-type,coinbasepro-filled,coinbasepro-high,coinbasepro-low,coinbasepro-open,coinbasepro-close,coinbasepro-average,coinbasepro-middle,coinbasepro-volume,coinbasepro-tradeCount,coinbasepro-eventType,bitstamp-appTimestamp,bitstamp-id,bitstamp-uid,bitstamp-assetPair,bitstamp-instrumentClass,bitstamp-exchangeId,bitstamp-interval,bitstamp-type,bitstamp-filled,bitstamp-high,bitstamp-low,bitstamp-open,bitstamp-close,bitstamp-average,bitstamp-middle,bitstamp-volume,bitstamp-tradeCount,bitstamp-eventType,cexio-appTimestamp,cexio-id,cexio-uid,cexio-assetPair,cexio-instrumentClass,cexio-exchangeId,cexio-interval,cexio-type,cexio-filled,cexio-high,cexio-low,cexio-open,cexio-close,cexio-average,cexio-middle,cexio-volume,cexio-tradeCount,cexio-eventType,itbit-appTimestamp,itbit-id,itbit-uid,itbit-assetPair,itbit-instrumentClass,itbit-exchangeId,itbit-interval,itbit-type,itbit-filled,itbit-high,itbit-low,itbit-open,itbit-close,itbit-average,itbit-middle,itbit-volume,itbit-tradeCount,itbit-eventType
0,2020-08-31 22:00:00.000,2020-08-31 23:00:24.795,1598911200000,candle-btc-usd-spot-gemini-1h-1598911200000,BTC-USD,Spot,gemini,1h,SpinningTop,False,11694.2,11632.87,11638.19,11663.14,11670.92,11663.53,57.5743508833,486,Candle,2020-08-31 23:00:43.624,1598911200000,candle-btc-usd-spot-kraken-1h-1598911200000,BTC-USD,Spot,kraken,1h,SpinningTop,False,11691.9,11630.0,11637.1,11661.6,11668.2,11660.9,88.97737493,470,Candle,2020-08-31 23:00:26.741,1598911200000,candle-btc-usd-spot-coinbasepro-1h-1598911200000,BTC-USD,Spot,coinbasepro,1h,SpinningTop,False,11692.33,11623.54,11636.08,11656.05,11665.48,11657.93,263.18085166,3981,Candle,2020-08-31 23:00:28.404,1598911200000,candle-btc-usd-spot-bitstamp-1h-1598911200000,BTC-USD,Spot,bitstamp,1h,SpinningTop,False,11693.92,11623.9,11632.01,11652.01,11665.19,11658.91,88.26303273,581,Candle,2020-08-31 23:02:54.927,1598911200000,candle-btc-usd-spot-cexio-1h-1598911200000,BTC-USD,Spot,cexio,1h,SpinningTop,False,11717.2,11651.5,11665.1,11678.3,11695.0,11684.3,4.02297282,89,Candle,2020-08-31 23:01:02.232,1598911200000,candle-btc-usd-spot-itbit-1h-1598911200000,BTC-USD,Spot,itbit,1h,LongDay,False,11691.25,11633.5,11634.25,11672.75,11667.59,11662.37,19.23083359,76,Candle
1,2020-08-31 23:00:00.000,2020-09-01 00:00:21.013,1598914800000,candle-btc-usd-spot-gemini-1h-1598914800000,BTC-USD,Spot,gemini,1h,LongLeggedDoji,True,11701.11,11651.84,11663.14,11662.17,11684.16,11676.47,73.2364404562,588,Candle,2020-09-01 00:00:42.574,1598914800000,candle-btc-usd-spot-kraken-1h-1598914800000,BTC-USD,Spot,kraken,1h,HighWave,True,11699.6,11656.4,11660.0,11656.9,11683.0,11678.0,60.72711868,405,Candle,2020-09-01 00:00:20.141,1598914800000,candle-btc-usd-spot-coinbasepro-1h-1598914800000,BTC-USD,Spot,coinbasepro,1h,LongLeggedDoji,True,11696.43,11651.99,11656.05,11655.0,11679.01,11674.21,438.17744027,3847,Candle,2020-09-01 00:00:42.812,1598914800000,candle-btc-usd-spot-bitstamp-1h-1598914800000,BTC-USD,Spot,bitstamp,1h,LongLeggedDoji,False,11700.0,11651.97,11653.82,11655.0,11678.99,11675.98,108.43458039,652,Candle,2020-09-01 00:01:44.362,1598914800000,candle-btc-usd-spot-cexio-1h-1598914800000,BTC-USD,Spot,cexio,1h,HighWave,True,11725.3,11669.7,11678.3,11669.7,11706.7,11697.5,3.21362461,76,Candle,2020-09-01 00:01:24.031,1598914800000,candle-btc-usd-spot-itbit-1h-1598914800000,BTC-USD,Spot,itbit,1h,GraveStoneDoji,False,11694.25,11659.0,11659.75,11660.5,11675.95,11676.62,18.80707968,76,Candle
2,2020-09-01 00:00:00.000,2020-09-01 01:00:39.008,1598918400000,candle-btc-usd-spot-gemini-1h-1598918400000,BTC-USD,Spot,gemini,1h,LongDay,True,11679.02,11540.27,11661.73,11623.66,11604.6,11609.64,77.0832565028,620,Candle,2020-09-01 01:00:47.457,1598918400000,candle-btc-usd-spot-kraken-1h-1598918400000,BTC-USD,Spot,kraken,1h,LongDay,True,11674.3,11532.8,11657.2,11612.7,11597.1,11603.5,216.24488349,915,Candle,2020-09-01 01:00:20.610,1598918400000,candle-btc-usd-spot-coinbasepro-1h-1598918400000,BTC-USD,Spot,coinbasepro,1h,LongDay,True,11672.8,11525.09,11655.0,11612.55,11608.13,11598.94,1072.51066395,6128,Candle,2020-09-01 01:00:25.387,1598918400000,candle-btc-usd-spot-bitstamp-1h-1598918400000,BTC-USD,Spot,bitstamp,1h,LongDay,True,11677.83,11515.0,11658.48,11609.43,11604.66,11596.41,496.37585683,1289,Candle,2020-09-01 01:01:11.450,1598918400000,candle-btc-usd-spot-cexio-1h-1598918400000,BTC-USD,Spot,cexio,1h,HighWave,True,11698.5,11558.7,11669.7,11654.9,11616.7,11628.6,12.16894569,146,Candle,2020-09-01 01:08:29.354,1598918400000,candle-btc-usd-spot-itbit-1h-1598918400000,BTC-USD,Spot,itbit,1h,LongDay,True,11670.0,11543.0,11660.5,11610.25,11592.19,11606.0,27.37111042,128,Candle
3,2020-09-01 01:00:00.000,2020-09-01 02:00:32.752,1598922000000,candle-btc-usd-spot-gemini-1h-1598922000000,BTC-USD,Spot,gemini,1h,LongDay,False,11646.33,11599.3,11613.45,11630.39,11622.95,11622.81,16.9464796928,360,Candle,2020-09-01 02:00:41.256,1598922000000,candle-btc-usd-spot-kraken-1h-1598922000000,BTC-USD,Spot,kraken,1h,LongDay,False,11640.3,11597.5,11612.8,11630.3,11616.6,11618.9,83.38229867,434,Candle,2020-09-01 02:00:27.090,1598922000000,candle-btc-usd-spot-coinbasepro-1h-1598922000000,BTC-USD,Spot,coinbasepro,1h,LongDay,False,11639.86,11596.4,11612.09,11628.0,11616.82,11618.13,374.3838449,3893,Candle,2020-09-01 02:00:28.265,1598922000000,candle-btc-usd-spot-bitstamp-1h-1598922000000,BTC-USD,Spot,bitstamp,1h,LongDay,False,11644.64,11588.37,11605.36,11629.8,11617.14,11616.5,72.92299907,480,Candle,2020-09-01 02:00:54.898,1598922000000,candle-btc-usd-spot-cexio-1h-1598922000000,BTC-USD,Spot,cexio,1h,LongDay,False,11669.4,11633.3,11647.0,11660.6,11654.5,11651.3,2.27722133,38,Candle,2020-09-01 02:02:16.718,1598922000000,candle-btc-usd-spot-itbit-1h-1598922000000,BTC-USD,Spot,itbit,1h,LongDay,False,11638.0,11597.5,11610.25,11626.25,11623.93,11617.7,0.59014427,37,Candle
4,2020-09-01 02:00:00.000,2020-09-01 03:00:32.493,1598925600000,candle-btc-usd-spot-gemini-1h-1598925600000,BTC-USD,Spot,gemini,1h,SpinningTop,False,11650.0,11607.81,11630.39,11639.42,11631.06,11628.9,34.372128948,427,Candle,2020-09-01 03:00:26.368,1598925600000,candle-btc-usd-spot-kraken-1h-1598925600000,BTC-USD,Spot,kraken,1h,Doji,True,11640.0,11616.2,11630.3,11629.8,11626.3,11628.1,67.07670887,324,Candle,2020-09-01 03:00:19.937,1598925600000,candle-btc-usd-spot-coinbasepro-1h-1598925600000,BTC-USD,Spot,coinbasepro,1h,SpinningTop,False,11646.77,11610.38,11628.0,11636.38,11625.71,11628.57,217.45353442,3538,Candle,2020-09-01 03:00:21.125,1598925600000,candle-btc-usd-spot-bitstamp-1h-1598925600000,BTC-USD,Spot,bitstamp,1h,HighWave,False,11646.82,11610.15,11630.41,11632.21,11626.6,11628.48,45.40853089,427,Candle,2020-09-01 03:00:39.597,1598925600000,candle-btc-usd-spot-cexio-1h-1598925600000,BTC-USD,Spot,cexio,1h,LongDay,True,11675.0,11622.8,11668.2,11647.2,11647.9,11648.9,5.46477055,67,Candle,2020-09-01 03:07:51.954,1598925600000,candle-btc-usd-spot-itbit-1h-1598925600000,BTC-USD,Spot,itbit,1h,SpinningTop,False,11646.25,11615.75,11626.25,11635.25,11628.15,11631.0,3.17877244,47,Candle
5,2020-09-01 03:00:00.000,2020-09-01 04:00:16.618,1598929200000,candle-btc-usd-spot-gemini-1h-1598929200000,BTC-USD,Spot,gemini,1h,LongDay,False,11706.41,11624.31,11641.11,11700.34,11666.91,11665.36,33.0655408446,431,Candle,2020-09-01 04:00:29.914,1598929200000,candle-btc-usd-spot-kraken-1h-1598929200000,BTC-USD,Spot,kraken,1h,LongDay,False,11700.0,11621.0,11629.9,11694.6,11666.0,11660.0,181.56673962,479,Candle,2020-09-01 04:00:24.382,1598929200000,candle-btc-usd-spot-coinbasepro-1h-1598929200000,BTC-USD,Spot,coinbasepro,1h,LongDay,False,11704.63,11620.87,11636.38,11697.28,11665.79,11662.75,318.53560517,3902,Candle,2020-09-01 04:00:28.184,1598929200000,candle-btc-usd-spot-bitstamp-1h-1598929200000,BTC-USD,Spot,bitstamp,1h,LongDay,False,11708.06,11618.31,11632.31,11692.88,11671.09,11663.18,100.81996781,705,Candle,2020-09-01 04:02:30.838,1598929200000,candle-btc-usd-spot-cexio-1h-1598929200000,BTC-USD,Spot,cexio,1h,OpeningMarubozu,False,11731.3,11647.2,11647.2,11714.1,11693.0,11689.2,3.31402989,67,Candle,2020-09-01 04:09:22.409,1598929200000,candle-btc-usd-spot-itbit-1h-1598929200000,BTC-USD,Spot,itbit,1h,LongDay,False,11699.25,11626.75,11635.25,11696.0,11676.12,11663.0,1.99789895,36,Candle
6,2020-09-01 04:00:00.000,2020-09-01 05:02:51.965,1598932800000,candle-btc-usd-spot-gemini-1h-1598932800000,BTC-USD,Spot,gemini,1h,SpinningTop,False,11730.57,11688.05,11697.86,11708.27,11707.15,11709.31,35.1710490058,415,Candle,2020-09-01 05:00:27.101,1598932800000,candle-btc-usd-spot-kraken-1h-1598932800000,BTC-USD,Spot,kraken,1h,HighWave,False,11720.0,11686.4,11694.5,11698.1,11701.6,11703.2,150.1109187,512,Candle,2020-09-01 05:00:12.767,1598932800000,candle-btc-usd-spot-coinbasepro-1h-1598932800000,BTC-USD,Spot,coinbasepro,1h,HighWave,False,11722.74,11683.73,11697.0,11699.48,11703.4,11703.23,415.08088053,4525,Candle,2020-09-01 05:00:21.025,1598932800000,candle-btc-usd-spot-bitstamp-1h-1598932800000,BTC-USD,Spot,bitstamp,1h,SpinningTop,False,11723.84,11682.45,11696.18,11705.91,11704.03,11703.14,135.55508939,721,Candle,2020-09-01 05:00:44.553,1598932800000,candle-btc-usd-spot-cexio-1h-1598932800000,BTC-USD,Spot,cexio,1h,SpinningTop,False,11755.4,11714.1,11714.1,11733.6,11734.4,11734.7,3.06222236,45,Candle,2020-09-01 05:00:24.212,1598932800000,candle-btc-usd-spot-itbit-1h-1598932800000,BTC-USD,Spot,itbit,1h,HighWave,False,11720.25,11696.0,11696.0,11697.5,11706.49,11708.12,1.1855155,31,Candle
7,2020-09-01 05:00:00.000,2020-09-01 06:00:16.669,1598936400000,candle-btc-usd-spot-gemini-1h-1598936400000,BTC-USD,Spot,gemini,1h,LongDay,False,11795.83,11695.97,11708.27,11795.23,11734.95,11745.9,56.2522471353,599,Candle,2020-09-01 06:00:30.662,1598936400000,candle-btc-usd-spot-kraken-1h-1598936400000,BTC-USD,Spot,kraken,1h,LongDay,False,11798.7,11692.9,11698.1,11792.5,11757.5,11745.8,98.43694044,645,Candle,2020-09-01 06:00:16.431,1598936400000,candle-btc-usd-spot-coinbasepro-1h-1598936400000,BTC-USD,Spot,coinbasepro,1h,LongDay,False,11798.05,11690.0,11699.48,11797.98,11732.48,11744.02,436.37487228,4558,Candle,2020-09-01 06:00:26.018,1598936400000,candle-btc-usd-spot-bitstamp-1h-1598936400000,BTC-USD,Spot,bitstamp,1h,ClosingMarubozu,False,11798.0,11689.07,11705.36,11798.0,11737.51,11743.53,244.68884419,897,Candle,2020-09-01 06:00:27.828,1598936400000,candle-btc-usd-spot-cexio-1h-1598936400000,BTC-USD,Spot,cexio,1h,ClosingMarubozu,False,11810.3,11723.0,11728.1,11810.3,11770.7,11766.6,7.85002814,100,Candle,2020-09-01 06:00:27.153,1598936400000,candle-btc-usd-spot-itbit-1h-1598936400000,BTC-USD,Spot,itbit,1h,Marubozu,False,11786.0,11699.5,11699.5,11786.0,11735.77,11742.7,8.51651664,51,Candle
8,2020-09-01 06:00:00.000,2020-09-01 07:00:18.794,1598940000000,candle-btc-usd-spot-gemini-1h-1598940000000,BTC-USD,Spot,gemini,1h,LongDay,False,11876.99,11781.57,11795.83,11869.21,11825.82,11829.28,105.3543189823,710,Candle,2020-09-01 07:00:20.619,1598940000000,candle-btc-usd-spot-kraken-1h-1598940000000,BTC-USD,Spot,kraken,1h,LongDay,False,11877.7,11782.8,11793.2,11872.3,11828.5,11830.2,375.61172977,1380,Candle,2020-09-01 07:00:18.794,1598940000000,candle-btc-usd-spot-coinbasepro-1h-1598940000000,BTC-USD,Spot,coinbasepro,1h,LongDay,False,11873.75,11782.78,11797.98,11868.11,11826.76,11828.26,970.50776972,4848,Candle,2020-09-01 07:00:20.249,1598940000000,candle-btc-usd-spot-bitstamp-1h-1598940000000,BTC-USD,Spot,bitstamp,1h,LongDay,False,11881.8,11778.5,11798.0,11877.65,11833.07,11830.1,680.96111377,1574,Candle,2020-09-01 07:00:49.358,1598940000000,candle-btc-usd-spot-cexio-1h-1598940000000,BTC-USD,Spot,cexio,1h,LongDay,False,11897.8,11805.9,11820.0,11885.9,11846.5,11851.8,11.81575295,151,Candle,2020-09-01 07:00:33.842,1598940000000,candle-btc-usd-spot-itbit-1h-1598940000000,BTC-USD,Spot,itbit,1h,ClosingMarubozu,False,11868.75,11789.75,11790.75,11868.75,11828.25,11829.25,22.28147016,62,Candle
9,2020-09-01 07:00:00.000,2020-09-01 08:00:27.000,1598943600000,candle-btc-usd-spot-gemini-1h-1598943600000,BTC-USD,Spot,gemini,1h,OpeningMarubozu,False,11941.24,11869.21,11869.21,11926.96,11903.03,11905.22,103.8353546081,445,Candle,2020-09-01 08:00:55.003,1598943600000,candle-btc-usd-spot-kraken-1h-1598943600000,BTC-USD,Spot,kraken,1h,OpeningMarubozu,False,11942.6,11872.3,11872.3,11925.2,11906.2,11907.4,258.78631146,1093,Candle,2020-09-01 08:00:21.532,1598943600000,candle-btc-usd-spot-coinbasepro-1h-1598943600000,BTC-USD,Spot,coinbasepro,1h,OpeningMarubozu,False,11945.72,11868.1,11868.1,11927.84,11899.03,11906.91,847.42232052,7826,Candle,2020-09-01 08:00:25.363,1598943600000,candle-btc-usd-spot-bitstamp-1h-1598943600000,BTC-USD,Spot,bitstamp,1h,LongDay,False,11949.99,11870.0,11877.22,11920.92,11901.03,11909.99,565.3741016,1195,Candle,2020-09-01 08:00:14.746,1598943600000,candle-btc-usd-spot-cexio-1h-1598943600000,BTC-USD,Spot,cexio,1h,LongDay,False,11960.7,11890.5,11898.0,11958.8,11926.6,11925.6,19.33482864,212,Candle,2020-09-01 08:03:23.542,1598943600000,candle-btc-usd-spot-itbit-1h-1598943600000,BTC-USD,Spot,itbit,1h,OpeningMarubozu,False,11942.5,11874.5,11874.5,11929.0,11895.41,11908.5,43.45234249,112,Candle
